geoName,Hans-Peter Bartels,Angela Merkel
Afghanistan,0,0
Albanien,0,100
Algerien,0,100
Amerikanisch-Samoa,0,0
Amerikanische Jungferninseln,0,0
Amerikanische Überseeinseln,0,0
Andorra,0,0
Angola,0,0
Anguilla,0,0
Antarktis,0,0
Antigua und Barbuda,0,0
Argentinien,0,100
Armenien,0,100
Aruba,0,0
Aserbaidschan,0,0
Australien,0,100
Bahamas,0,0
Bahrain,0,0
Bangladesch,0,0
Barbados,0,0
Belarus,0,0
Belgien,0,100
Belize,0,0
Benin,0,0
Bermuda,0,0
Bhutan,0,0
Bolivien,0,0
"Bonaire, Sint Eustatius und Saba",0,0
Bosnien und Herzegowina,0,100
Botsuana,0,0
Bouvetinsel,0,0
Brasilien,0,100
Britische Jungferninseln,0,0
Britisches Territorium im Indischen Ozean,0,0
Brunei Darussalam,0,0
Bulgarien,0,100
Burkina Faso,0,0
Burundi,0,0
Cabo Verde,0,0
Chile,0,100
China,0,0
Cookinseln,0,0
Costa Rica,0,100
Curaçao,0,0
Côte d’Ivoire,0,0
Deutschland,0,100
Dominica,0,0
Dominikanische Republik,0,0
Dschibuti,0,0
Dänemark,0,100
Ecuador,0,0
El Salvador,0,0
Eritrea,0,0
Estland,0,100
Falklandinseln (Malwinen),0,0
Fidschi,0,0
Finnland,0,100
Frankreich,0,100
Französisch-Guayana,0,0
Französisch-Polynesien,0,0
Französische Süd- und Antarktisgebiete,0,0
Färöer,0,0
Gabun,0,0
Gambia,0,0
Georgien,0,0
Ghana,0,0
Gibraltar,0,0
Grenada,0,0
Griechenland,0,100
Grönland,0,0
Guadeloupe,0,0
Guam,0,0
Guatemala,0,0
Guernsey,0,0
Guinea,0,0
Guinea-Bissau,0,0
Guyana,0,0
Haiti,0,0
Heard und McDonaldinseln,0,0
Honduras,0,0
Hongkong,0,100
Indien,0,100
Indonesien,0,100
Irak,0,0
Iran,0,100
Irland,0,100
Island,0,0
Isle of Man,0,0
Israel,0,100
Italien,0,100
Jamaika,0,0
Japan,0,100
Jemen,0,0
Jersey,0,0
Jordanien,0,0
Kaimaninseln,0,0
Kambodscha,0,0
Kamerun,0,0
Kanada,0,100
Kasachstan,0,0
Katar,0,0
Kenia,0,100
Kirgisistan,0,0
Kiribati,0,0
Kokosinseln,0,0
Kolumbien,0,100
Komoren,0,0
Kongo-Brazzaville,0,0
Kongo-Kinshasa,0,0
Kosovo,0,0
Kroatien,0,100
Kuba,0,0
Kuwait,0,0
Laos,0,0
Lesotho,0,0
Lettland,0,0
Libanon,0,0
Liberia,0,0
Libyen,0,0
Liechtenstein,0,0
Litauen,0,0
Luxemburg,0,100
Macau,0,0
Madagaskar,0,0
Malawi,0,0
Malaysia,0,100
Malediven,0,0
Mali,0,0
Malta,0,0
Marokko,0,100
Marshallinseln,0,0
Martinique,0,0
Mauretanien,0,0
Mauritius,0,0
Mayotte,0,0
Mazedonien (EJR),0,100
Mexiko,0,100
Mikronesien,0,0
Monaco,0,0
Mongolei,0,0
Montenegro,0,0
Montserrat,0,0
Mosambik,0,0
Myanmar,0,0
Namibia,0,0
Nauru,0,0
Nepal,0,0
Neukaledonien,0,0
Neuseeland,0,100
Nicaragua,0,0
Niederlande,0,100
Niger,0,0
Nigeria,0,100
Niue,0,0
Nordkorea,0,0
Norfolkinsel,0,0
Norwegen,0,100
Nördliche Marianen,0,0
Oman,0,0
Pakistan,0,100
Palau,0,0
Palästina,0,0
Panama,0,0
Papua-Neuguinea,0,0
Paraguay,0,0
Peru,0,100
Philippinen,0,100
Pitcairninseln,0,0
Polen,0,100
Portugal,0,100
Puerto Rico,0,0
Republik Moldau,0,0
Ruanda,0,0
Rumänien,0,100
Russland,0,100
Réunion,0,0
Salomonen,0,0
Sambia,0,0
Samoa,0,0
San Marino,0,0
Saudi-Arabien,0,0
Schweden,0,100
Schweiz,0,100
Senegal,0,0
Serbien,0,100
Seychellen,0,0
Sierra Leone,0,0
Simbabwe,0,0
Singapur,0,100
Sint Maarten,0,0
Slowakei,0,100
Slowenien,0,100
Somalia,0,0
Spanien,0,100
Spitzbergen und Jan Mayen,0,0
Sri Lanka,0,0
St. Barthélemy,0,0
St. Helena,0,0
St. Kitts und Nevis,0,0
St. Lucia,0,0
St. Martin,0,0
St. Pierre und Miquelon,0,0
St. Vincent und die Grenadinen,0,0
Sudan,0,0
Suriname,0,0
Swasiland,0,0
Syrien,0,0
São Tomé und Príncipe,0,0
Südafrika,0,100
Südgeorgien und die Südlichen Sandwichinseln,0,0
Südkorea,0,100
Südsudan,0,0
Tadschikistan,0,0
Taiwan,0,0
Tansania,0,0
Thailand,0,100
Timor-Leste,0,0
Togo,0,0
Tokelau,0,0
Tonga,0,0
Trinidad und Tobago,0,0
Tschad,0,0
Tschechien,0,100
Tunesien,0,100
Turkmenistan,0,0
Turks- und Caicosinseln,0,0
Tuvalu,0,0
Türkei,0,100
Uganda,0,0
Ukraine,0,100
Ungarn,0,100
Uruguay,0,0
Usbekistan,0,0
Vanuatu,0,0
Vatikanstadt,0,0
Venezuela,0,100
Vereinigte Arabische Emirate,0,100
Vereinigte Staaten,0,100
Vereinigtes Königreich,0,100
Vietnam,0,100
Wallis und Futuna,0,0
Weihnachtsinsel,0,0
Westsahara,0,0
Zentralafrikanische Republik,0,0
Zypern,0,0
Ägypten,0,0
Äquatorialguinea,0,0
Äthiopien,0,0
Ålandinseln,0,0
Österreich,0,100
